year,ratio,issue_price
2020,,4.9
2020,,21.43
2020,,48.71
2020,,19.16
2020,,127.68
2020,,15.57
2020,,17.76
2020,,122.32
2020,,0.5
2020,,19.16
2020,,1.98
2020,,5.41
2020,,4.74
2020,,13.95
2020,,10.96
2020,,48.71
2020,,253.0
2020,,3.64
2020,,0.5
2020,,9.0
2020,,51.0
2020,,15.0
2020,,6.0
2020,,199.83
2020,,189.91
2020,,127.68
2020,,138.96
2020,,122.32
2020,,121.36
2020,,110.07
2020,,145.44
2020,,157.83
2020,,140.07
2020,,140.08
2020,,17.77
2020,,18.88
2020,,15.61
2020,,20.19
2020,,19.18
2020,,127.68
2020,,138.96
2020,,122.32
2020,,121.36
2020,,15.61
2020,,20.19
2020,,19.18
2020,,134.0
2020,,45.0
2020,,144.0
2020,,9.0
2020,,2.0
2020,,19.16
2020,,17.76
2020,,122.32
2020,,121.36
2020,,19.16
2020,,17.76
2020,,13.95
2020,,13.85
2020,,11.53
2020,,11.19
2020,,10.96
2020,,10.63
2020,,11.1
2020,,0.5
2020,,0.5
2020,,2.0
2020,,2.5
2020,,127.0
2020,,138.0
2020,,144.0
2020,,155.0
2020,,2.0
2020,,134.0
2020,,137.0
2020,,110.0
2020,,3.0
2020,,4.0
2020,,291.0
2020,,80.0
2020,,186.0
2020,,7.0
2020,,9.0
2020,,9.0
2020,,9.0
2020,,9.0
2020,,8.0
2020,,5.0
2020,,8.0
2020,,1.0
2020,,131.0
2020,,145.0
2020,,215.0
2020,,3.0
2020,,11.1
2020,,2.0
2020,,9.0
2020,,9.0
2020,,9.0
2020,,9.0
2020,,9.0
2020,,9.0
2020,,9.0
2020,,15.0
2020,,15.0
2020,,14.1
2020,,346.0
2020,,11.1
2020,,17.0
2020,,17.0
2020,,17.0
2020,,187.0
2020,,840.0
2020,10:00,
2020,,62.2
2020,,29.1
2020,,166.0
2020,,147.0
2020,,45.0
2020,,35.0
2020,,528.0
2020,,114.0
2020,,16.0
2020,,16.0
2020,,3.0
2020,,17.0
2020,,9.0
2020,,17.0
2020,,9.0
2020,,4.0
2020,,17.0
2020,,17.0
2020,,17.0
2020,,16.0
2020,,17.0
2020,,17.0
2020,,17.0
2020,,17.0
2020,,34.0
2020,,10.0
2020,,3.0
2020,,7.0
2020,,918.0
2020,,163.0
2020,,2010.0
2020,,784.0
2020,,57.0
2020,,3.0
2020,,57.0
2020,,4.9
2020,,19.16
2020,,62.2
2020,,147.0
2020,,45.0
2020,,35.0
2020,,5.0
2020,,10.0
2020,,3.0
2020,,20.0
2020,,918.0
2020,,163.0
2020,,2010.0
2020,,784.0
2020,,57.0
2020,,3.0
2020,,52.0
2020,,4.0
2020,,58.0
2020,,10.0
2020,,20.0
2020,,18.0
2020,,3.0
2020,,5.0
2020,,16.0
2020,,100.0
2020,,1.0
2020,,2.0
2020,,4.0
2020,,4.0
2020,,7.0
2020,,51.0
2020,,10.0
2020,,3.9
2020,,2.45
2020,,3.0
2020,,12.7
2020,,37.9
2020,,58.0
2020,,21.4
2020,,222.0
2020,,996.0
